Class name,Method name,Return type,Parameters,,
class ga.SampleClass,isQualifiedForRetirement,boolean,"long, long"
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,0.0,0.4958830507286975,0.21,2.0,"[[771, 718230], [6117828, 8013], [44, 354724764], [981739, 813], [5257480, 9], [86847, 883948121], [2, 9019815], [5, 88724], [230232, 46], [5, 21]]"
1,0.0,0.6324555320336759,0.4,3.0,"[[6796342, 2080], [5540, 5], [84, 7843899], [50756, 86116041], [988325, 13761388], [570207, 4469], [5054, 617], [872732108, 98], [209628, 5], [875628, 155]]"
2,0.0,0.7657675887630657,0.56,3.0,"[[924, 14155456], [93, 22518], [142864, 72], [798, 572], [178506, 772], [97853541, 29], [370498, 922525], [63902843, 17060], [6, 71827], [123791, 194632]]"
3,0.0,0.9836157786453,0.85,4.0,"[[91, 61282457], [6, 70], [69760747, 6861454], [59878063, 908], [8141581, 33], [17, 40], [68389510, 4494], [15804, 742230308], [7562, 53], [401255, 281666]]"
4,0.0,1.0889903580840372,1.21,5.0,"[[999891484, 9083755], [160581206, 1], [27920, 90353], [55262, 6648114], [37, 2471], [656009402, 926808967], [23425993, 360556083], [565983, 22356], [54612, 395], [7699, 667302]]"
5,0.0,1.0136567466356647,1.75,6.0,"[[9274, 85798806], [76, 884993], [383, 32445], [449793262, 8398391], [169, 60438], [68487, 84661], [9, 27140376], [872732108, 98], [209628, 5], [5342, 60232]]"
6,0.0,1.1666619047521867,2.17,6.0,"[[671132, 86], [76, 884993], [383, 32445], [449793262, 8398391], [55262, 6648114], [2, 97912], [9050, 7569], [7562, 724], [46994270, 129208103], [39223, 70]]"
7,0.0,1.132431013351364,2.76,7.0,"[[21919202, 702813866], [27920, 90353], [2508, 547294647], [49488, 5], [570207, 4469], [4249925, 90132], [565983, 22356], [23425993, 360556083], [7699, 667302], [54612, 395]]"
8,1.0,1.039230484541326,3.2,8.0,"[[342403942, 860589], [95, 6894818], [1, 889], [453592, 24], [995704299, 80917], [49020, 8869263], [9, 3], [74434, 447495393], [37100, 938507058], [401255, 281666]]"
9,2.0,1.0186265262597487,3.68,9.0,"[[160581206, 1], [473953, 8], [16189167, 9], [83, 1], [50, 23], [2, 97912], [260661, 79322739], [881998, 501503], [671132, 86], [87999, 951]]"
10,2.0,1.0756858277396797,4.23,9.0,"[[95, 6894818], [6, 70], [80, 14], [38796, 96], [71604, 815], [513, 639], [52935088, 23962], [433, 19680], [89, 262409], [34, 5]]"
11,2.0,1.2009995836801932,4.76,10.0,"[[34, 5], [16189167, 9], [160581206, 1], [169, 60438], [7562, 53], [30, 7], [243952145, 2615751], [49020, 8869263], [347, 92], [85144, 447]]"
12,2.0,1.2319090875547603,5.32,11.0,"[[30, 3], [16189167, 9], [160581206, 1], [30, 7], [453592, 24], [46994270, 129208103], [49020, 8869263], [47839632, 87107], [681, 508], [436141827, 8]]"
13,2.0,1.1532562594670797,5.7,12.0,"[[30, 3], [160581206, 1], [513, 639], [9237580, 67982], [16189167, 9], [28, 1], [5, 8159], [49020, 8869263], [4066, 562], [436141827, 8]]"
14,4.0,1.002546757014355,6.07,13.0,"[[91, 61282457], [80, 14], [9, 3], [30, 7], [27920, 90353], [71604, 815], [2, 97912], [50, 23], [87999, 951], [95, 6894818]]"
15,3.0,1.2206555615733696,6.3,14.0,"[[95, 6894818], [30, 3], [27920, 90353], [25, 4299], [30, 7], [5959, 93], [49020, 8869263], [26457260, 911], [23, 7], [87007, 77877094]]"
16,3.0,1.2529964086141665,6.7,14.0,"[[30, 3], [80, 14], [95, 6894818], [169, 60438], [27920, 90353], [370122214, 3], [49020, 8869263], [28, 1], [9237580, 67982], [87007, 77877094]]"
17,4.0,1.1038115781237294,7.04,15.0,"[[8481, 5679], [142864, 72], [68, 8], [6593932, 887977881], [169, 60438], [9, 3], [453592, 24], [9237580, 67982], [34, 5], [23, 7]]"
18,5.0,1.0219589032832972,7.34,16.0,"[[68, 8], [74434, 447495393], [23, 7], [38796, 96], [9, 3], [80, 14], [9237580, 67982], [95, 6894818], [71604, 815], [34, 5]]"
19,5.0,1.010742301479463,7.72,17.0,"[[28, 1], [80, 14], [6593932, 887977881], [34, 5], [370122214, 3], [243952145, 2615751], [618893, 278303], [74434, 447495393], [83, 1], [30, 3]]"
20,5.0,0.9109884741312599,7.99,18.0,"[[95, 6894818], [30, 7], [80, 14], [71604, 815], [83, 1], [656009402, 926808967], [49020, 8869263], [28, 1], [30, 3], [27920, 90353]]"
21,6.0,0.8086408349817619,8.31,19.0,"[[9, 3], [370122214, 3], [2, 2], [453592, 24], [8481, 5679], [9237580, 67982], [50, 23], [30, 7], [34, 5], [23, 7]]"
22,6.0,0.7961783719745223,8.31,19.0,"[[2, 2], [30, 3], [28, 1], [30, 7], [38796, 96], [8481, 5679], [9, 3], [50, 23], [27920, 90353], [49020, 8869263]]"
23,7.0,0.7405403432629459,8.54,20.0,"[[30, 3], [9, 7], [9, 3], [83, 1], [27920, 90353], [28, 1], [30, 7], [6593932, 887977881], [160581206, 1], [2, 2]]"
24,7.0,0.6884039511798296,8.81,21.0,"[[50, 23], [6, 70], [68, 8], [34, 5], [9237580, 67982], [28, 1], [2, 97912], [83, 1], [9, 3], [30, 7]]"
25,7.0,0.6179805822192143,9.09,22.0,"[[80, 14], [988325, 13761388], [28, 1], [2, 97912], [9, 3], [74434, 447495393], [23, 7], [34, 5], [30, 3], [68, 8]]"
26,7.0,0.6611353870426239,9.27,22.0,"[[68, 8], [80, 14], [2, 97912], [453592, 24], [50, 23], [83, 1], [9237580, 67982], [2, 2], [9, 3], [23, 7]]"
27,8.0,0.574369219230976,9.49,23.0,"[[34, 5], [68, 8], [8481, 5679], [2, 2], [27920, 90353], [9, 3], [28, 1], [23, 7], [30, 3], [80, 14]]"
28,9.0,0.4142463035441602,9.78,24.0,"[[80, 14], [9, 7], [23, 7], [83, 1], [50, 23], [2, 2], [8481, 5679], [28, 1], [9, 3], [34, 5]]"
29,9.0,0.2551470164434616,9.93,25.0,"[[34, 5], [9, 3], [6, 70], [68, 8], [50, 23], [80, 14], [2, 2], [30, 3], [28, 1], [83, 1]]"
30,9.0,0.17058722109232027,9.97,25.0,"[[23, 7], [30, 7], [34, 5], [80, 14], [68, 8], [2, 2], [28, 1], [8481, 5679], [50, 23], [30, 3]]"
31,10.0,0.0,10.0,26.0,"[[68, 8], [2, 2], [50, 23], [23, 7], [30, 7], [28, 1], [80, 14], [9, 3], [34, 5], [30, 3]]"
