Class name,Method name,Return type,Parameters,,
class ga.SampleClass,withdraw,double,"boolean, double"
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,1.0,1.6312878348102762,4.83,32.0,"[[false, -890347.71], [false, -381923.03], [false, -743895.31], [true, -981768.82], [false, -871816.59], [false, -872034.24], [false, -943912.32], [false, 47105.52], [true, -114213.16], [false, -547330.05]]"
1,2.0,1.3975335416368366,5.63,37.0,"[[true, -12736.86], [true, -770101.16], [false, -871527.91], [true, -981768.82], [false, -871816.59], [false, -872034.24], [false, -943912.32], [true, 812880.06], [true, -767664.65], [false, 632367.04]]"
2,2.0,1.341640786499875,6.2,39.0,"[[false, -547330.05], [false, -381923.03], [false, -743895.31], [true, 884674.25], [true, -443679.14], [false, 630995.42], [false, -237384.99], [false, -404705.87], [false, -926433.21], [false, -890347.71]]"
3,4.0,1.116198907005378,6.79,42.0,"[[false, -547330.05], [false, -381923.03], [false, -743895.31], [true, -443679.14], [true, 884674.25], [false, 630995.42], [false, -237384.99], [false, 111200.57], [false, 446815.39], [false, -890347.71]]"
4,5.0,1.0223013254417697,7.43,44.0,"[[true, -978106.23], [true, -548504.76], [true, -303529.16], [false, 986407.63], [true, 598345.27], [false, 86143.06], [false, -492013.47], [false, 951075.21], [true, -947959.46], [false, 960953.29]]"
5,5.0,1.0262066068779716,7.87,47.0,"[[false, 837092.78], [true, 876760.38], [false, 606604.79], [true, -352692.85], [false, 732120.92], [true, -342414.61], [true, 498572.51], [true, -533179.75], [false, -90343.39], [false, -821310.8]]"
6,6.0,0.9043782394551505,8.39,49.0,"[[false, 866903.36], [true, 40740.88], [false, 641315.99], [false, -522602.7], [false, -427408.31], [true, 672809.36], [false, -219008.98], [false, 159047.88], [false, -973757.94], [false, 171928.65]]"
7,7.0,0.782048591840686,8.78,51.0,"[[true, 995775.43], [false, 185882.52], [false, 236136.4], [true, -352692.85], [true, -592453.47], [true, 534805.78], [true, 633687.5], [false, -149777.06], [true, 121756.18], [false, 881832.89]]"
8,8.0,0.653834841531101,9.25,53.0,"[[false, 215706.67], [true, 376091.67], [true, -255950.83], [true, 986043.6], [false, 895027.17], [true, 593113.19], [true, 723824.9], [false, 932224.64], [false, -786074.42], [false, 881832.89]]"
9,8.0,0.5078385570237851,9.61,55.0,"[[true, -815958.46], [false, -654842.1], [true, 300188.88], [true, 137585.76], [true, 114684.01], [true, 459691.16], [true, 89617.27], [true, 723824.9], [true, 851499.58], [true, 658284.0]]"
10,9.0,0.43863424398922585,9.74,58.0,"[[false, 726063.08], [false, 499994.45], [true, -255950.83], [true, 67204.36], [true, 593113.19], [true, 672809.36], [true, 105573.51], [false, 171928.65], [false, 932224.64], [true, 52469.85]]"
11,9.0,0.2861817604250837,9.91,59.0,"[[true, 658284.0], [true, 595823.14], [true, 300188.88], [true, -342414.61], [true, 137585.76], [false, 211259.01], [false, 76682.05], [true, 723824.9], [true, 807750.71], [false, 130025.44]]"
12,9.0,0.2374868417407592,9.94,61.0,"[[false, 726063.08], [true, 222086.01], [false, 76682.05], [true, 204347.82], [true, -548504.76], [false, 932224.64], [true, 672809.36], [false, 926939.02], [false, 171928.65], [true, 52469.85]]"
13,9.0,0.09949874371066196,9.99,63.0,"[[false, 171928.65], [false, 47762.18], [true, 876760.38], [false, 886813.84], [true, 534805.78], [false, 174724.21], [false, 398886.68], [true, 121756.18], [false, 130025.44], [true, -815958.46]]"
14,10.0,0.0,10.0,65.0,"[[true, 376091.67], [false, 53263.29], [true, 482417.49], [false, 820788.87], [true, 222086.01], [false, 886813.84], [false, 398886.68], [true, 633687.5], [true, 157370.31], [false, 130025.44]]"
