Class name,Method name,Return type,Parameters,,
class ga.SampleClass,withdraw,double,"boolean, double"
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,0.0,1.6447188209539039,4.93,8.0,"[[true, -935804.29], [false, -657296.08], [true, -30612.19], [true, -405454.9], [true, -775228.07], [true, -168232.59], [false, -742399.57], [true, -377534.01], [false, -933967.21], [true, -921963.64]]"
1,2.0,1.3479985163196577,5.77,10.0,"[[false, 314153.74], [true, -95123.95], [true, -213710.3], [false, -171107.25], [true, -923514.68], [true, 689819.25], [true, -42924.04], [true, -734401.99], [true, -2124.28], [false, -483593.24]]"
2,4.0,1.1779218989389753,6.55,12.0,"[[false, -586013.61], [false, -698925.17], [false, -309663.15], [false, 99170.72], [true, 543779.84], [false, -674777.05], [true, -823271.77], [true, -421526.04], [false, 174164.32], [false, 953367.99]]"
3,5.0,1.19849906132629,7.06,14.0,"[[true, -734837.64], [true, 631618.41], [true, -655617.7], [false, -165313.56], [false, 242606.21], [true, -259788.14], [false, -740733.91], [true, 772753.06], [false, 884542.69], [true, 743234.09]]"
4,5.0,1.1469960767151741,7.62,16.0,"[[false, -706096.0], [true, 27397.52], [false, -275989.92], [true, 827328.61], [true, 815377.34], [true, -407194.77], [true, -259788.14], [true, -820484.77], [false, 318051.77], [false, 339120.48]]"
5,4.0,1.1104503590886012,8.13,17.0,"[[true, -796020.02], [false, -243488.38], [true, 844569.82], [false, -810021.9], [false, 461894.75], [false, 199059.79], [true, -361336.1], [true, 750118.38], [true, -990041.42], [false, -951150.33]]"
6,6.0,0.9450396817065403,8.63,19.0,"[[true, 934029.3], [true, 897654.78], [false, 771505.72], [true, 414873.35], [true, -173102.2], [true, 394216.49], [true, 934735.31], [false, -735124.2], [true, -389029.09], [false, -376931.75]]"
7,6.0,0.8660254037844385,9.1,21.0,"[[false, 715429.47], [true, 252349.68], [false, -682180.02], [false, -651433.39], [false, 707406.18], [true, 980812.11], [true, 897317.26], [true, -247336.58], [false, -374316.44], [false, 278032.42]]"
8,7.0,0.7211102550927979,9.4,22.0,"[[false, 715429.47], [true, 252349.68], [false, -682180.02], [false, -162179.54], [false, 758768.72], [true, -820484.77], [false, 313181.74], [false, 241991.82], [false, 278032.42], [false, 339120.48]]"
9,8.0,0.49234134500364746,9.76,24.0,"[[false, 278032.42], [false, 715429.47], [false, 758768.72], [true, 230759.9], [true, -735643.94], [false, 680030.28], [false, 241991.82], [true, 18383.9], [false, -590714.97], [true, 444947.8]]"
10,9.0,0.2374868417407592,9.94,25.0,"[[true, 308178.5], [false, 278032.42], [true, 735168.47], [true, -735643.94], [false, 555509.73], [true, 994865.95], [true, 38878.43], [true, 772753.06], [false, 151760.18], [true, 696149.78]]"
11,9.0,0.1399999999999999,9.98,27.0,"[[true, 767624.63], [false, 715429.47], [true, 994865.95], [true, -735643.94], [true, 38878.43], [true, 414873.35], [false, 313181.74], [false, 241991.82], [false, 585959.41], [false, 296786.53]]"
12,10.0,0.0,10.0,29.0,"[[false, 278032.42], [false, 151760.18], [true, 630849.43], [false, 470867.68], [false, 680030.28], [true, 441241.57], [true, 934029.3], [true, 906498.79], [true, 696149.78], [true, 21857.89]]"
