Class name,Method name,Return type,Parameters,,
class ga.SampleClass,withdraw,double,"boolean, double"
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,2.0,1.3955285736952854,5.15,4.0,"[[true, -847991.7], [false, -273161.34], [true, -58683.52], [true, -58017.57], [false, 198829.55], [true, -329930.26], [true, 124159.63], [false, -511598.87], [false, -41991.25], [false, -518968.43]]"
1,2.0,1.291355876588633,5.82,6.0,"[[true, -516679.83], [false, 763177.53], [false, -585127.12], [true, -482010.4], [false, -849517.47], [false, 583777.22], [true, -178180.69], [true, -737532.23], [false, -14474.83], [true, -46287.74]]"
2,3.0,1.2286578042726135,6.48,7.0,"[[false, -947017.45], [false, -403101.92], [false, -448502.9], [true, -402474.38], [false, -836068.38], [true, 535469.47], [false, -267093.06], [true, 185311.67], [false, 806344.74], [true, -247859.04]]"
3,5.0,0.9412226091632093,7.21,9.0,"[[false, -161405.06], [false, 702280.42], [true, -6878.87], [true, 673497.98], [true, -28811.18], [true, 241002.13], [false, 829005.28], [false, 609620.62], [true, -930918.12], [false, -813857.1]]"
4,6.0,1.091970695577496,7.74,10.0,"[[true, -404304.21], [true, 111471.61], [true, -505330.42], [false, 296638.79], [true, -591121.14], [false, 549093.52], [true, -831120.45], [true, 913897.51], [false, 796299.32], [true, 199080.53]]"
5,6.0,1.0883014288330228,8.34,12.0,"[[false, -604782.32], [true, -213669.81], [false, 500013.84], [true, 744648.11], [false, 722699.62], [false, -668929.32], [true, 38891.76], [true, -635011.35], [false, 647628.2], [true, 781355.59]]"
6,7.0,0.8682741502543996,8.81,13.0,"[[false, -101452.6], [false, 336381.95], [true, -248168.73], [false, 586388.59], [true, -605232.45], [true, 374587.6], [false, 720735.44], [false, 683537.55], [true, 956262.27], [false, 926628.37]]"
7,7.0,0.8645808232895286,9.15,15.0,"[[true, 917480.65], [false, 500013.84], [true, 363423.14], [true, 765755.82], [false, 78879.0], [true, -891631.23], [true, -342183.71], [false, 247217.45], [false, -939915.37], [false, 510245.76]]"
8,8.0,0.6081940479813998,9.49,16.0,"[[true, -821018.64], [false, 796299.32], [true, 111471.61], [false, 194625.73], [false, -668929.32], [false, 303787.74], [false, 720735.44], [true, 435072.64], [true, 73075.24], [true, 617370.25]]"
9,8.0,0.3929376540877708,9.84,18.0,"[[true, -821018.64], [false, 796299.32], [true, 111471.61], [false, 194625.73], [false, -668929.32], [true, 675581.0], [false, 303787.74], [true, 942797.12], [true, 73075.24], [true, 617370.25]]"
10,9.0,0.19595917942265398,9.96,19.0,"[[true, 917480.65], [true, 363423.14], [true, 561864.71], [false, 613657.42], [true, 580135.87], [false, -668929.32], [false, 549093.52], [false, 719845.11], [true, 73075.24], [false, 510245.76]]"
11,10.0,0.0,10.0,21.0,"[[true, 917480.65], [false, 500013.84], [true, 111471.61], [false, 194625.73], [true, 677189.54], [true, 886357.74], [true, 557208.55], [true, 33620.45], [true, 73075.24], [false, 510245.76]]"
