Class name,Method name,Return type,Parameters,,
class ga.SampleClass,withdraw,double,"boolean, double"
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,0.0,1.766352173265568,5.2,3.0,"[[false, -979470.97], [false, -367877.71], [false, -71179.1], [true, -612393.09], [true, -986017.88], [true, -458066.36], [true, -586608.45], [true, -82403.15], [false, -979288.57], [true, -174027.13]]"
1,1.0,1.5716233645501705,5.9,4.0,"[[false, -591393.57], [false, -102570.28], [true, -136634.34], [false, -688634.89], [false, -687261.48], [false, -735383.77], [true, -621850.29], [false, -777177.92], [true, -653681.26], [true, 222339.79]]"
2,3.0,1.4204224723651768,6.68,6.0,"[[false, 672887.46], [false, -119916.3], [false, -599107.23], [false, -656214.98], [false, 688723.8], [true, -208567.71], [true, -618872.08], [false, -105009.32], [true, 510040.3], [false, -758140.98]]"
3,3.0,1.4426018161641136,7.17,8.0,"[[false, 42537.92], [true, -656097.26], [false, 732239.48], [false, -292401.43], [false, -511661.91], [false, 799453.32], [true, -699425.72], [true, -868353.89], [false, -720930.89], [true, -115373.0]]"
4,4.0,1.22474487139159,7.8,9.0,"[[true, -753721.26], [false, -412356.05], [false, -902463.77], [true, -670659.93], [false, -264537.35], [true, 668279.3], [false, 485969.75], [true, 261155.99], [false, 59276.5], [false, -973699.91]]"
5,5.0,1.073126274023705,8.22,11.0,"[[true, -825404.44], [false, 230226.99], [true, 162253.57], [true, -590427.84], [false, -401505.5], [true, 304145.42], [false, -247589.85], [true, 425586.57], [false, -629018.26], [true, 757661.6]]"
6,6.0,0.8534635317340763,8.54,13.0,"[[true, -927738.69], [false, -495360.58], [true, -597335.2], [false, 529931.12], [false, 331468.24], [true, -319892.72], [true, 968886.22], [true, 261155.99], [false, 59276.5], [true, 222339.79]]"
7,7.0,0.7533923280734944,8.82,14.0,"[[false, 435914.16], [true, 687212.04], [false, 391721.58], [false, 402682.16], [false, -186400.72], [true, 141392.32], [false, -266379.4], [false, -198557.46], [true, 816562.0], [true, 126263.82]]"
8,7.0,0.7794228634059936,9.05,16.0,"[[false, 3069.1], [false, 931725.19], [true, -628927.62], [true, 977891.74], [false, 99543.08], [true, 141792.94], [true, 410822.06], [false, 375440.98], [true, -559.5], [false, -311228.8]]"
9,8.0,0.6858571279792891,9.36,17.0,"[[true, 438544.85], [false, 933158.59], [false, 742586.69], [false, 71616.34], [true, -670659.93], [false, 914798.34], [false, 836413.52], [false, 854261.89], [true, 269169.44], [false, -166176.0]]"
10,8.0,0.5656854249492379,9.6,19.0,"[[true, 981181.56], [false, 649605.24], [true, 56422.42], [false, 71616.34], [true, 292328.68], [true, 927309.98], [false, 265239.68], [true, -456275.31], [false, -266379.4], [true, 348310.91]]"
11,8.0,0.453762052181537,9.79,20.0,"[[true, -580112.77], [false, 731454.24], [false, 64584.01], [true, 977891.74], [true, 141792.94], [false, 886735.74], [false, 59276.5], [false, 836413.52], [true, -496052.96], [true, 909566.5]]"
12,9.0,0.19595917942265398,9.96,22.0,"[[true, 964040.32], [false, 717771.83], [true, -628927.62], [true, 948117.8], [false, 500151.44], [false, 886735.74], [true, 647441.56], [false, 798042.69], [false, 721259.2], [true, 5247.6]]"
13,9.0,0.09949874371066196,9.99,23.0,"[[true, 292328.68], [false, 731454.24], [false, 64584.01], [true, 977891.74], [false, 488693.09], [true, -319892.72], [false, 265239.68], [false, 59276.5], [true, 955756.55], [false, 836413.52]]"
14,10.0,0.0,10.0,25.0,"[[true, 955756.55], [false, 767023.32], [false, 522541.14], [true, 55618.63], [false, 911622.02], [true, 244392.12], [false, 798042.69], [false, 491325.56], [true, 410822.06], [false, 391721.58]]"
