Class name,Method name,Return type,Parameters,,
class ga.SampleClass,withdraw,double,"boolean, double"
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,1.0,1.5771810295587496,5.15,3.0,"[[false, -73030.73], [false, -375675.73], [true, -345.5], [true, -352130.08], [false, -850653.07], [false, -267554.32], [false, -422097.89], [false, -448703.49], [false, -63548.79], [true, 820611.49]]"
1,4.0,1.311335197422841,6.02,5.0,"[[false, -306797.76], [false, -908456.68], [false, -764499.23], [true, 648211.26], [true, 890937.71], [true, 172085.25], [false, -801234.31], [false, -308650.93], [true, 973064.32], [true, -30049.37]]"
2,4.0,1.2685030547854428,6.53,7.0,"[[false, -599457.78], [true, -231997.49], [false, 357234.42], [true, -212136.84], [false, -18100.0], [false, -410226.75], [false, 93387.03], [true, 249994.74], [true, 238550.13], [true, -875401.28]]"
3,5.0,1.0908712114635712,7.3,8.0,"[[true, 124931.54], [false, -599457.78], [false, 155261.25], [true, 897011.66], [false, -514493.84], [false, -41170.49], [false, -667451.92], [false, 547723.85], [true, -615633.06], [false, 14061.65]]"
4,5.0,1.2359207094308269,7.85,9.0,"[[true, -961602.12], [false, 592267.86], [false, -935517.52], [true, -766690.19], [true, -902195.6], [false, 324256.04], [true, -741504.53], [true, 332807.99], [true, 168651.1], [true, 28356.58]]"
5,5.0,0.9390953093270148,8.41,11.0,"[[false, -726397.93], [false, 4583.94], [false, -778126.12], [true, -910073.28], [false, -514493.84], [false, -783615.85], [true, 609323.26], [true, 402039.47], [false, 671179.3], [true, 82464.09]]"
6,6.0,0.8701149349367575,8.73,13.0,"[[true, 555890.17], [false, 4583.94], [false, -778126.12], [false, -656094.45], [true, 577259.1], [true, -560428.14], [true, 168651.1], [true, 332807.99], [false, 905770.16], [true, -741504.53]]"
7,8.0,0.7056202944927247,9.11,15.0,"[[true, 892556.81], [true, -483688.68], [false, 990902.9], [true, 746287.18], [false, 773343.36], [false, -155535.9], [false, 653538.3], [false, 810003.82], [true, 64153.43], [true, 466279.56]]"
8,7.0,0.6550572494064926,9.53,16.0,"[[false, 95470.03], [false, 354498.36], [true, 570615.0], [false, -667451.92], [true, 805724.98], [true, 577259.1], [true, -741504.53], [false, 925153.55], [true, 372977.58], [true, -46313.68]]"
9,8.0,0.4999999999999995,9.7,18.0,"[[true, -483688.68], [false, 503320.34], [false, 990902.9], [false, -778126.12], [true, 486086.06], [false, 810003.82], [true, 911686.22], [true, 601793.37], [true, 249994.74], [true, 466279.56]]"
10,9.0,0.324961536185439,9.88,20.0,"[[false, 905770.16], [false, 234741.22], [false, 779453.61], [true, 609323.26], [false, 34215.8], [false, -213954.64], [false, 871464.94], [true, 332807.99], [true, 13612.29], [true, 555890.17]]"
11,9.0,0.1399999999999999,9.98,21.0,"[[true, 357815.62], [false, 354902.17], [true, 16760.03], [true, 443971.01], [false, -155535.9], [false, 653538.3], [false, 548221.48], [false, 17534.16], [false, 783271.9], [false, 825076.72]]"
12,10.0,0.0,10.0,23.0,"[[true, 196948.27], [false, 234741.22], [false, 294511.37], [true, 594801.5], [false, 423672.22], [true, 415713.5], [false, 548221.48], [true, 64153.43], [true, 559929.06], [true, 892556.81]]"
