Class name,Method name,Return type,Parameters,,
class ga.SampleClass,withdraw,double,"boolean, double"
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,1.0,1.5679285698015706,4.96,5.0,"[[true, -638705.31], [true, 174545.34], [false, -806024.53], [false, -10058.69], [true, -926652.79], [false, -840562.54], [true, -840647.5], [false, -961421.93], [false, -654573.82], [false, -745434.63]]"
1,2.0,1.4386104406683557,5.52,7.0,"[[true, -142505.72], [true, -856704.37], [true, -425527.46], [false, 423879.68], [true, -968098.34], [true, -720950.49], [false, -98204.54], [false, 987107.65], [false, -453407.94], [false, -270314.76]]"
2,3.0,1.397533541636838,6.13,8.0,"[[false, -80229.66], [false, -420945.28], [true, -959100.49], [true, 772848.19], [false, 969667.89], [false, -519961.37], [true, -71150.33], [true, 357916.88], [false, -817084.85], [false, -911099.84]]"
3,3.0,1.1670047129296441,6.91,10.0,"[[false, -80229.66], [false, -420945.28], [true, -959100.49], [true, 772848.19], [false, -519961.37], [false, 969667.89], [true, -71150.33], [true, 357916.88], [false, -817084.85], [false, -911099.84]]"
4,5.0,1.0892199043352082,7.44,11.0,"[[false, -976019.89], [true, -884240.15], [false, 509227.06], [false, -417739.18], [true, 572900.7], [false, 884885.89], [false, -52108.89], [true, 695058.37], [true, -624956.46], [true, 532499.19]]"
5,6.0,1.0625911725588546,7.97,13.0,"[[true, 210604.82], [true, -605667.18], [false, -606339.02], [false, 164580.14], [false, 794961.26], [true, 727375.35], [true, -568475.76], [false, 425122.91], [false, -46356.28], [true, 124880.73]]"
6,6.0,0.8701149349367591,8.23,15.0,"[[true, 473776.6], [false, 485766.22], [false, -811142.95], [true, 462973.08], [true, -848420.41], [true, 272271.03], [false, -359159.6], [false, 861640.28], [true, -363986.0], [true, 883260.6]]"
7,6.0,0.800999375780032,8.72,16.0,"[[true, 473776.6], [false, 485766.22], [false, -811142.95], [true, 462973.08], [true, -848420.41], [true, 272271.03], [false, -359159.6], [true, -363986.0], [false, 861640.28], [true, 675665.55]]"
8,7.0,0.6819824044651001,9.07,18.0,"[[true, -613316.47], [true, 532499.19], [false, 164580.14], [false, -606339.02], [true, 592777.25], [true, -568475.76], [true, 727375.35], [false, 186767.03], [true, 647692.0], [false, 363482.98]]"
9,8.0,0.6371028174478589,9.29,21.0,"[[true, 129744.33], [false, 804930.9], [true, 202596.46], [false, 164580.14], [false, 587501.73], [false, 425122.91], [false, -926265.83], [false, 644590.01], [true, -576721.61], [false, 890779.01]]"
10,8.0,0.6062177826491079,9.55,22.0,"[[true, 333035.99], [true, 655192.59], [false, 41079.06], [true, 83563.17], [false, 312540.27], [true, -576721.61], [false, 827801.93], [true, 971576.8], [false, -220841.51], [true, 957951.19]]"
11,8.0,0.3840572873934313,9.85,24.0,"[[true, -271865.45], [true, 514192.99], [false, 664667.29], [false, 472249.65], [false, 796433.49], [true, 83563.17], [false, -835291.5], [false, 794961.26], [true, 262614.75], [true, 260710.99]]"
12,9.0,0.21794494717703436,9.95,25.0,"[[true, 260710.99], [false, 247232.09], [false, 485766.22], [false, 181993.94], [false, 349507.72], [true, 727375.35], [false, -781980.11], [false, 644590.01], [true, 758589.24], [true, 971576.8]]"
13,10.0,0.0,10.0,28.0,"[[false, 790644.44], [true, 800320.72], [false, 41079.06], [false, 164580.14], [false, 587501.73], [false, 796433.49], [true, 262614.75], [false, 67636.77], [false, 97074.7], [true, 129744.33]]"
