Class name,Method name,Return type,Parameters,,
class ga.SampleClass,isQualifiedForRetirement,boolean,"long, long"
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,0.0,0.5038849074937649,0.19,2.0,"[[4973139, 75772959], [306234, 172], [9343788, 1], [568438, 73], [52, 6304829], [34, 49210600], [472, 6039912], [189, 197794], [2141848, 889], [886810, 22]]"
1,0.0,0.5491812087098392,0.28,3.0,"[[65263557, 994945], [463020211, 6981514], [9, 476], [741, 1924], [664842, 77], [703999644, 50891156], [78, 61387565], [39707509, 1445], [2190611, 765705], [8250985, 46905990]]"
2,0.0,0.7241546796092672,0.66,4.0,"[[249745312, 1], [2275, 2], [3843443, 874802], [947345, 0], [768633840, 281], [75423644, 736], [16, 90219673], [494, 994949], [473760603, 378842800], [7589919, 70819]]"
3,0.0,0.8529361054615994,0.95,5.0,"[[249745312, 1], [96357854, 39972], [379, 988449698], [244548, 4631328], [9309, 86], [689804126, 9894431], [4238, 24], [7589919, 70819], [215, 725253454], [249, 4]]"
4,0.0,0.9672641831474988,1.38,6.0,"[[5414952, 65], [0, 664], [5, 718473123], [5, 589691], [13333414, 7759], [777, 877364796], [918, 584173], [50, 4669], [60868, 754334], [9085962, 912]]"
5,0.0,0.8834025130143103,1.86,6.0,"[[4503, 69], [8882, 27092], [333964, 7], [36849565, 0], [16346, 45380], [2149, 184], [827014, 220714424], [151, 17965067], [572366, 1], [9131651, 98]]"
6,0.0,0.8845337754998389,2.24,7.0,"[[0, 444], [1297438, 7793348], [110, 29422879], [2103, 835], [740517, 127996], [13333414, 7759], [737221, 99422], [473760603, 378842800], [1126034, 60], [692673, 1]]"
7,0.0,0.9273618495495692,2.6,8.0,"[[333964, 7], [699635956, 1029], [4503, 69], [36849565, 0], [2149, 184], [9329615, 8534], [623032, 91466729], [8569393, 0], [315912245, 190950], [85475, 42]]"
8,0.0,0.9867117106835213,3.08,9.0,"[[104189, 94134], [206745887, 81006], [2103, 835], [5, 718473123], [740517, 127996], [5, 184], [861, 5], [90349, 903777582], [885591445, 97154474], [27774, 7758410]]"
9,0.0,1.0629675441893793,3.51,10.0,"[[27774, 7758410], [206745887, 81006], [2103, 835], [5, 718473123], [740517, 127996], [468051, 70], [737221, 99422], [90349, 903777582], [885591445, 97154474], [104189, 94134]]"
10,0.0,0.9484724561103499,3.98,10.0,"[[27774, 7758410], [206745887, 81006], [2103, 835], [5, 718473123], [740517, 127996], [468051, 70], [737221, 99422], [885591445, 97154474], [90349, 903777582], [104189, 94134]]"
11,3.0,0.8815327560561776,4.23,11.0,"[[609200, 57236], [75, 6], [64, 7], [8569393, 0], [9, 2], [2103, 835], [39035, 1], [237836, 2], [315912245, 190950], [694892, 583647200]]"
12,2.0,1.0707007051459343,4.56,12.0,"[[75, 6], [15, 9], [2103, 835], [110, 29422879], [439416, 906], [16346, 45380], [85475, 42], [855, 63], [623032, 91466729], [4133629, 70259]]"
13,2.0,1.0607073111843819,4.93,13.0,"[[2103, 835], [75, 6], [64, 7], [206745887, 81006], [439416, 906], [694892, 583647200], [16346, 45380], [855, 63], [623032, 91466729], [4133629, 70259]]"
14,3.0,0.9087904048789247,5.29,14.0,"[[15, 9], [75, 6], [2103, 835], [740517, 127996], [16346, 45380], [8569393, 0], [1126034, 60], [855, 63], [37, 1], [74939, 535]]"
15,2.0,0.9909086738948257,5.59,14.0,"[[15, 9], [75, 6], [2103, 835], [740517, 127996], [16346, 45380], [8569393, 0], [737221, 99422], [694892, 583647200], [572366, 1], [74939, 535]]"
16,3.0,1.1215614116043764,5.89,15.0,"[[468051, 70], [110, 29422879], [64, 7], [16346, 45380], [740517, 127996], [8569393, 0], [85, 13], [6, 1], [89920546, 8696307], [85475, 42]]"
17,4.0,1.0474254150057647,6.27,16.0,"[[623032, 91466729], [398675796, 90138793], [468051, 70], [85475, 42], [9329615, 8534], [29, 13], [2748405, 645330], [85, 13], [37, 1], [75, 6]]"
18,4.0,0.9635351576356725,6.54,17.0,"[[468051, 70], [15, 9], [9, 2], [9329615, 8534], [6, 1], [740517, 127996], [8569393, 0], [64, 7], [2748405, 645330], [1126034, 60]]"
19,5.0,0.9420721840708386,6.85,17.0,"[[15, 9], [7, 2], [5, 4], [398675796, 90138793], [110, 29422879], [9, 2], [6, 1], [85475, 42], [1126034, 60], [468051, 70]]"
20,5.0,0.8411301920630361,7.05,18.0,"[[75, 6], [8569393, 0], [15, 9], [6, 1], [694892, 583647200], [9329615, 8534], [2748405, 645330], [29, 13], [572366, 1], [5, 4]]"
21,5.0,0.7956758133813042,7.37,19.0,"[[468051, 70], [15, 9], [9, 2], [7, 2], [8569393, 0], [439416, 906], [64, 7], [4238, 24], [6, 1], [4165, 27245781]]"
22,6.0,0.7628237017817426,7.59,20.0,"[[85, 13], [37, 1], [5, 4], [9, 2], [7, 2], [206745887, 81006], [398675796, 90138793], [3, 2], [572366, 1], [623032, 91466729]]"
23,6.0,0.7835177087979565,7.69,20.0,"[[9, 2], [623032, 91466729], [740517, 127996], [398675796, 90138793], [2103, 835], [7, 2], [75, 6], [3, 2], [5, 4], [6, 1]]"
24,5.0,0.834505841801002,7.94,21.0,"[[110, 29422879], [15, 9], [29, 13], [4238, 24], [5, 4], [398675796, 90138793], [740517, 127996], [3, 2], [572366, 1], [85, 13]]"
25,6.0,0.6887670143089025,8.16,22.0,"[[4165, 27245781], [110, 29422879], [75, 6], [7, 2], [3, 2], [29, 13], [740517, 127996], [85, 13], [572366, 1], [15, 9]]"
26,6.0,0.7084490101623409,8.41,23.0,"[[1126034, 60], [75, 6], [5, 4], [7, 2], [398675796, 90138793], [206745887, 81006], [85, 13], [29, 13], [110, 29422879], [6, 1]]"
27,7.0,0.6600000000000003,8.62,24.0,"[[1126034, 60], [15, 9], [740517, 127996], [6, 1], [85, 13], [75, 6], [29, 13], [110, 29422879], [5, 4], [9, 2]]"
28,7.0,0.6063002556489643,8.82,24.0,"[[75, 6], [15, 9], [740517, 127996], [6, 1], [85, 13], [1126034, 60], [29, 13], [5, 4], [110, 29422879], [64, 7]]"
