Class name,Method name,Return type,Parameters,,
class ga.SampleClass,setMemberAge,void,long
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,0.0,1.0944861808172819,2.11,2.0,"[[9376513], [904], [7161627], [87343005], [822], [5890], [6216], [0], [526062], [70744]]"
1,0.0,1.1542963224406462,2.74,3.0,"[[752013], [933002], [4782886], [649], [351], [6405], [313661], [5956], [774619], [51797]]"
2,1.0,1.0842508934743833,3.38,4.0,"[[721], [642880042], [433], [15045591], [4171], [347130], [8827], [256006126], [3], [72832]]"
3,0.0,1.202123121814068,3.93,5.0,"[[2890], [52030], [13], [1647], [45083748], [8081045], [69503], [6305], [6106], [2692717]]"
4,2.0,1.090825375575761,4.49,6.0,"[[461698], [60], [77009363], [72240696], [34873], [163], [73], [24131961], [981224172], [10649248]]"
5,2.0,1.144508628189409,5.01,8.0,"[[155215], [6819295], [6546], [502], [6044], [71], [347130], [43], [99981], [832580287]]"
6,3.0,1.1584040745784692,5.41,9.0,"[[112], [9063482], [8], [155215], [972], [6], [116628], [92850080], [99981], [1913]]"
7,3.0,1.146123902551553,6.08,10.0,"[[94], [654807], [9063482], [0], [116628], [211], [7], [2179], [65], [274185931]]"
8,3.0,1.1525623627379136,6.46,11.0,"[[5], [3], [9063482], [1913], [8317], [81], [840608], [9227], [1986696], [564192]]"
9,5.0,0.94572723340295,7.16,13.0,"[[274185931], [5], [6], [89], [30], [474556], [9227], [2992], [2179], [94]]"
10,5.0,0.99498743710662,7.5,13.0,"[[3976], [73831230], [57], [4778226], [7], [218543], [95], [2], [2], [72832]]"
11,5.0,1.0667239567948221,7.89,14.0,"[[3], [258170], [51], [81], [474556], [112036260], [2], [218543], [2], [72832]]"
12,6.0,0.9407975340103732,8.43,15.0,"[[258170], [90], [6], [7], [21], [92], [335778], [93], [507], [53934]]"
13,6.0,0.8420807562223475,8.97,16.0,"[[763209654], [10], [10], [50], [547067], [112036260], [7], [1], [23], [69973529]]"
14,8.0,0.705620294492724,9.39,17.0,"[[1986696], [3], [6], [3], [89], [3], [7], [507], [50], [5]]"
15,8.0,0.4999999999999995,9.7,18.0,"[[23], [51], [5], [7], [95], [80], [4], [335778], [90], [3976]]"
16,8.0,0.3544009029333875,9.88,19.0,"[[94], [112], [89], [7], [81], [31], [4], [335778], [3976], [90]]"
17,9.0,0.1399999999999999,9.98,20.0,"[[8], [2], [10], [81], [5], [30], [93], [335778], [3], [23]]"
18,10.0,0.0,10.0,21.0,"[[50], [51], [7], [81], [89], [7], [3], [93], [1], [1]]"
