Class name,Method name,Return type,Parameters,,
class ga.SampleClass,withdraw,double,"boolean, double"
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,1.0,1.46846859006245,4.94,4.0,"[[false, -561815.34], [false, -371480.82], [false, -821061.06], [false, -528800.34], [true, 525579.83], [true, -400299.87], [false, -643924.81], [false, -446011.04], [false, -245609.99], [false, -187870.13]]"
1,2.0,1.325556486914081,5.73,6.0,"[[true, 240018.66], [false, -719277.04], [true, -55541.87], [false, -434649.75], [false, -388083.34], [true, -932126.04], [true, -288999.76], [false, 252676.93], [false, -389097.78], [false, -182245.53]]"
2,4.0,1.2579348154813106,6.24,8.0,"[[false, -31235.51], [true, 470221.62], [true, -792439.48], [false, -13636.51], [false, 340840.68], [false, -728937.26], [false, 483054.83], [true, -479545.14], [true, -25928.63], [true, 141780.83]]"
3,3.0,1.2000000000000008,6.8,9.0,"[[false, -696993.93], [true, 745087.54], [false, 80755.1], [false, -647995.32], [true, -442223.97], [true, -145688.54], [true, -998985.56], [true, 5734.56], [true, -25928.63], [false, -31235.51]]"
4,4.0,1.2579348154813106,7.24,11.0,"[[true, -959159.26], [true, 233516.13], [false, 80755.1], [false, -647995.32], [true, -442223.97], [true, -145688.54], [true, -998985.56], [false, 655383.77], [false, 227211.21], [false, -953179.27]]"
5,5.0,1.104717158371318,7.86,13.0,"[[false, -213249.63], [false, 937822.57], [false, -278701.3], [true, -38276.06], [false, 650311.51], [false, 739043.5], [true, -314771.19], [false, -920182.85], [false, 394082.38], [true, 585283.05]]"
6,6.0,0.9313968005098585,8.45,15.0,"[[false, 950657.7], [true, 612958.91], [false, -491846.63], [true, -83222.69], [true, -538558.95], [false, -872500.21], [true, 536143.56], [false, 946702.85], [true, 976708.1], [true, 40689.14]]"
7,7.0,0.7208328516376035,8.98,17.0,"[[false, 701079.49], [false, 259039.78], [true, 231426.55], [false, -889110.54], [true, 996109.07], [false, -128438.44], [true, 474235.9], [true, -84770.79], [true, 162265.79], [true, 850006.87]]"
8,7.0,0.7071067811865471,9.2,18.0,"[[true, -147409.37], [true, 141780.83], [false, 425871.04], [false, 534014.83], [false, 271304.66], [true, 208754.99], [false, -310071.07], [true, 244214.15], [true, 850006.87], [true, -891954.84]]"
9,8.0,0.6053098380168619,9.56,20.0,"[[false, 701079.49], [false, 425871.04], [true, -940882.07], [false, 271304.66], [true, -736170.07], [true, 818551.04], [true, 421356.71], [false, 288591.18], [false, 903314.97], [false, 261376.27]]"
10,8.0,0.4556314299957798,9.82,21.0,"[[true, 231426.55], [true, -736170.07], [false, 937822.57], [false, 534014.83], [true, 740610.01], [true, 37855.26], [true, 5734.56], [true, -998985.56], [false, 411391.27], [false, 720638.47]]"
11,9.0,0.17058722109232027,9.97,23.0,"[[false, 149435.17], [false, 425871.04], [false, 485421.01], [true, 37855.26], [true, 244214.15], [false, 755825.24], [true, -196038.62], [true, 162265.79], [false, 946702.85], [false, 950657.7]]"
12,10.0,0.0,10.0,25.0,"[[false, 994247.17], [true, 675574.5], [false, 537474.36], [false, 722881.55], [true, 740610.01], [true, 818551.04], [true, 98077.2], [false, 946702.85], [true, 162265.79], [false, 288591.18]]"
