Class name,Method name,Return type,Parameters,,
class ga.SampleClass,withdraw,double,"boolean, double"
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,2.0,1.6462077633154333,5.1,7.0,"[[true, 615963.28], [true, -798428.22], [true, -281594.42], [false, -514292.73], [true, -171518.54], [true, 568761.3], [false, -958133.71], [true, -748562.52], [true, -516619.99], [false, -209042.33]]"
1,2.0,1.5231546211727816,6.0,9.0,"[[false, 199476.5], [true, -895018.57], [false, -851146.02], [false, -833777.16], [false, -346944.7], [true, -937550.17], [false, -310200.01], [false, -765581.41], [false, 196581.34], [true, -679384.86]]"
2,3.0,1.4092196422133778,6.71,11.0,"[[true, -632829.85], [true, -926743.85], [false, -192402.92], [true, -92707.1], [true, -445348.08], [false, 291026.37], [true, 991357.92], [false, -777520.28], [true, -922601.35], [false, 231236.77]]"
3,5.0,1.1417530380953669,7.58,13.0,"[[false, -209242.89], [false, 949751.04], [true, 893187.62], [true, -374283.48], [true, -170776.24], [false, 637645.05], [false, 655547.29], [false, -974253.84], [false, -417014.28], [false, 248831.08]]"
4,5.0,1.149739100839839,8.09,15.0,"[[false, -208275.34], [true, -220452.21], [true, 675508.58], [false, 2100.92], [true, -360377.03], [true, 167800.75], [false, 896163.36], [false, -98793.78], [true, -406021.33], [false, 269357.08]]"
5,6.0,1.0648474069086153,8.69,17.0,"[[true, 987212.2], [false, 588600.92], [false, -483507.83], [true, 855783.25], [false, -14313.01], [false, -17413.22], [true, 711417.31], [true, 952680.12], [true, -197941.89], [false, 867434.07]]"
6,7.0,0.7794870107962045,9.18,19.0,"[[true, -126873.65], [true, 294014.18], [true, 404486.61], [true, -374283.48], [true, 145905.53], [true, 224227.14], [true, 633411.05], [false, -209242.89], [true, 443864.01], [true, 391577.67]]"
7,8.0,0.5885575587824864,9.56,23.0,"[[false, 995883.45], [false, -995578.52], [false, 470466.3], [true, 855783.25], [false, 623098.12], [true, 446343.73], [true, -730252.34], [true, 669316.41], [true, 815687.48], [true, 815275.95]]"
8,8.0,0.4176122603564228,9.84,25.0,"[[true, 370574.71], [true, -132395.0], [false, 767163.72], [true, 145905.53], [true, -374283.48], [true, 359144.81], [false, 105074.96], [false, 871335.16], [false, 584881.23], [true, 395173.26]]"
9,8.0,0.22158519806160276,9.97,26.0,"[[true, 443864.01], [true, -18768.1], [true, 404486.61], [false, 570899.07], [false, 335726.94], [false, 871335.16], [false, 460841.77], [true, 391577.67], [false, 867434.07], [false, -999750.93]]"
10,10.0,0.0,10.0,29.0,"[[true, 443864.01], [false, 606122.69], [false, 402950.61], [false, 588600.92], [true, 271713.78], [false, 804990.8], [true, 391577.67], [true, 659502.81], [false, 560656.47], [true, 446343.73]]"
