Class name,Method name,Return type,Parameters,,
class ga.SampleClass,withdraw,double,"boolean, double"
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,1.0,1.3811589336495627,4.82,5.0,"[[true, -810393.17], [false, -771313.36], [false, -972102.24], [true, -575243.48], [false, -111982.98], [true, -597410.38], [false, 105242.06], [false, -710720.55], [true, -309898.79], [false, -115254.03]]"
1,2.0,1.3668942899873433,5.46,7.0,"[[true, -372477.65], [true, -475953.46], [true, -749184.1], [true, -132829.94], [false, -452299.3], [false, -894523.69], [false, -717361.31], [true, -94798.06], [true, 397829.53], [false, 878842.98]]"
2,1.0,1.306101068064796,6.21,10.0,"[[true, -372477.65], [true, -475953.46], [true, -749184.1], [true, -132829.94], [false, -452299.3], [false, -894523.69], [false, -717361.31], [true, -94798.06], [false, 878842.98], [false, -906518.97]]"
3,4.0,1.0499523798725345,6.76,13.0,"[[true, 132440.84], [false, 469219.17], [false, -750419.66], [false, -739880.87], [true, 706346.63], [true, -432919.07], [true, -287875.1], [false, -622607.35], [false, 163975.05], [false, -676748.94]]"
4,4.0,1.1377170122662312,7.16,16.0,"[[true, -779068.16], [true, 541050.16], [true, -643781.92], [false, 733234.58], [false, -631210.31], [true, -852029.25], [false, -949850.04], [false, 886856.12], [false, -649156.68], [true, 33520.97]]"
5,5.0,1.074057726567804,7.92,19.0,"[[false, -252782.32], [false, -999755.15], [true, 211867.32], [true, 871080.45], [true, 704143.22], [false, -316956.56], [false, -349177.63], [false, 880814.84], [false, -78798.49], [false, 379045.45]]"
6,7.0,0.7140728254176888,8.49,21.0,"[[false, 379045.45], [false, 248532.72], [false, 24452.01], [false, -418313.13], [true, 189905.61], [false, 616560.44], [false, 59661.64], [false, 968602.77], [true, -975020.91], [true, -365881.78]]"
7,8.0,0.677938050267131,8.98,23.0,"[[false, 469219.17], [true, 701024.91], [true, 578499.12], [true, 313573.38], [true, 706346.63], [true, -187511.16], [true, 946440.83], [false, 48134.95], [true, -471879.05], [false, 844703.28]]"
8,8.0,0.6493073232299162,9.28,25.0,"[[false, 811195.72], [false, 24452.01], [true, 881607.5], [false, -739880.87], [false, 128982.36], [true, 351831.35], [false, 59661.64], [false, 837364.53], [false, 968602.77], [false, -252782.32]]"
9,8.0,0.5249761899362678,9.62,27.0,"[[false, 248532.72], [true, 464780.65], [false, 258479.03], [true, 881607.5], [false, 128982.36], [false, 837364.53], [false, -499810.25], [false, 968602.77], [true, -471879.05], [false, 469219.17]]"
10,8.0,0.4311612227462019,9.79,30.0,"[[true, -365881.78], [false, 868500.36], [true, 685208.8], [false, 404048.49], [true, 313573.38], [true, 392849.18], [false, -256054.32], [false, 791583.88], [false, 811195.72], [false, 968602.77]]"
11,9.0,0.09949874371066196,9.99,33.0,"[[true, 747023.86], [true, 501356.66], [true, 881607.5], [true, 81020.42], [true, 592401.79], [false, -303855.36], [false, 616560.44], [false, 931808.09], [true, 144141.1], [false, 414551.59]]"
12,10.0,0.0,10.0,36.0,"[[true, 464780.65], [false, 248532.72], [false, 128982.36], [true, 706346.63], [true, 881607.5], [true, 164821.22], [true, 648622.14], [true, 66095.26], [false, 844703.28], [false, 458075.1]]"
