Class name,Method name,Return type,Parameters,,
class ga.SampleClass,withdraw,double,"boolean, double"
""
Generation,Best Candidate Fitness,Best Candidate Standard Deviation,Mean Fitness,Elapsed Time(Milli Second),Best Candidate

0,2.0,1.6608431593621351,5.04,4.0,"[[true, -678719.6], [true, 381769.76], [false, -124306.83], [false, -825283.16], [false, -817447.21], [true, -724749.55], [false, -600570.33], [true, -884197.5], [true, -614540.16], [false, 91122.32]]"
1,2.0,1.5728636304524306,5.81,5.0,"[[true, 718327.54], [true, -360918.44], [false, 295642.7], [true, -388167.32], [false, -794776.49], [false, -572644.43], [false, -72766.13], [false, -813796.31], [true, -18858.29], [false, -351357.67]]"
2,2.0,1.4729562111617576,6.52,7.0,"[[true, -966359.37], [true, -652255.53], [true, -660122.53], [true, -451706.48], [true, -747848.36], [false, -889165.85], [true, -252030.74], [false, 407067.7], [false, 577000.46], [true, -105409.68]]"
3,4.0,1.2666491226855199,7.34,8.0,"[[false, 934220.74], [true, 920874.63], [false, -464271.36], [false, -222818.66], [false, -370385.31], [true, -775776.66], [false, 538924.76], [true, -374019.33], [true, 395216.28], [true, -379295.12]]"
4,5.0,1.089724735885169,7.95,10.0,"[[true, -318003.54], [false, -142305.28], [true, 793269.07], [true, 993742.72], [true, 774371.44], [true, -947984.95], [false, 105226.02], [true, -594224.24], [false, -535510.68], [false, 636639.95]]"
5,6.0,0.8660254037844386,8.5,11.0,"[[false, 223787.25], [true, 16506.56], [false, -848095.44], [true, -416456.94], [false, 588712.67], [true, -191152.97], [true, -572799.25], [false, 896405.95], [false, 399873.81], [true, 736577.42]]"
6,7.0,0.8121576201698776,8.98,12.0,"[[true, 926733.0], [true, 704041.51], [true, -825745.82], [true, -191152.97], [false, 951042.04], [false, -196442.33], [false, 399873.81], [false, 171367.0], [false, 571734.91], [false, 18799.52]]"
7,7.0,0.7495998932764079,9.41,13.0,"[[false, 770720.58], [true, 704041.51], [true, -825745.82], [true, -191152.97], [false, 951042.04], [false, 399873.81], [false, -196442.33], [false, 171367.0], [false, 571734.91], [true, 100468.59]]"
8,8.0,0.5233545643251806,9.69,15.0,"[[false, 18799.52], [true, 926733.0], [true, -391114.83], [false, 161638.5], [false, 586744.31], [true, 271433.17], [false, 235114.54], [false, 399873.81], [false, -815602.75], [false, 896405.95]]"
9,9.0,0.2551470164434616,9.93,16.0,"[[false, 770720.58], [false, 161638.5], [true, -825745.82], [true, 721288.6], [false, 471238.86], [false, 399873.81], [false, 286213.25], [false, 171367.0], [true, 100468.59], [true, 407980.44]]"
10,10.0,0.0,10.0,17.0,"[[true, 685097.21], [false, 107252.97], [true, 334568.1], [false, 624759.85], [true, 572942.37], [true, 859725.3], [false, 504594.13], [false, 656421.58], [true, 253193.79], [true, 468592.99]]"
