"","Round","Generation","Best Candidate Fitness","Best Candidate Standard Deviation","Mean Fitness","Elapsed Time(Milli Second)","Best Candidate","Method Name"
"3",1,1,8,0.431161222746202,9.79,20,"[[F, A], [l, r], [T, T], [d, M], [a, M], [D, D], [t, a], [H, N], [L, B], [M, z]]","calculateScore"
"4",1,2,8,0.291719042916295,9.93,24,"[[m, m], [M, s], [A, P], [J, J], [m, a], [h, l], [A, d], [b, M], [w, M], [j, L]]","calculateScore"
"5",1,3,9,0.099498743710662,9.99,27,"[[S, J], [k, a], [A, S], [c, K], [M, L], [k, k], [b, E], [B, e], [k, j], [A, d]]","calculateScore"
"6",1,4,10,0,10,29,"[[W, M], [M, c], [O, e], [k, l], [d, k], [j, m], [t, M], [m, J], [c, V], [m, k]]","calculateScore"
"31",2,1,8,0.624819974072531,9.64,3,"[[L, R], [J, J], [e, d], [j, J], [K, h], [J, M], [l, L], [Y, f], [d, d], [B, t]]","calculateScore"
"41",2,2,8,0.43301270189222,9.85,4,"[[V, S], [M, M], [M, l], [L, c], [n, h], [d, J], [A, A], [K, w], [s, d], [s, v]]","calculateScore"
"51",2,3,9,0.14,9.98,5,"[[M, a], [N, q], [a, a], [p, T], [a, A], [l, T], [L, r], [J, L], [T, l], [n, b]]","calculateScore"
"61",2,4,9,0.14,9.98,6,"[[l, r], [B, M], [C, C], [e, A], [l, M], [C, m], [w, J], [e, s], [C, S], [P, J]]","calculateScore"
"7",2,7,9,0.099498743710662,9.99,8,"[[B, l], [B, J], [C, C], [e, A], [l, M], [w, J], [C, m], [e, s], [n, S], [i, H]]","calculateScore"
"8",2,8,10,0,10,9,"[[k, a], [t, C], [K, p], [K, d], [T, m], [M, B], [a, p], [J, R], [T, i], [D, l]]","calculateScore"
"32",3,1,8,0.50705029336349,9.73,3,"[[l, l], [A, j], [k, a], [O, A], [m, E], [L, c], [J, m], [f, a], [k, R], [A, A]]","calculateScore"
"42",3,2,9,0.255147016443462,9.93,5,"[[D, J], [c, r], [P, K], [V, m], [T, O], [v, g], [A, E], [M, D], [A, A], [h, R]]","calculateScore"
"52",3,3,9,0.099498743710662,9.99,6,"[[D, m], [g, j], [p, M], [A, R], [A, A], [M, A], [A, K], [g, l], [Y, A], [V, E]]","calculateScore"
"62",3,4,10,0,10,7,"[[s, m], [A, m], [S, r], [L, B], [R, d], [B, C], [M, i], [S, A], [R, A], [M, j]]","calculateScore"
"33",4,1,8,0.534696175411794,9.71,3,"[[L, b], [j, j], [J, k], [k, E], [k, h], [j, d], [J, J], [J, j], [B, j], [t, C]]","calculateScore"
"43",4,2,8,0.319217793990248,9.91,5,"[[A, C], [c, P], [F, L], [H, H], [a, J], [J, D], [H, H], [t, C], [M, E], [F, M]]","calculateScore"
"53",4,3,9,0.17058722109232,9.97,6,"[[O, j], [N, c], [L, m], [h, h], [E, j], [J, Y], [d, k], [k, a], [V, D], [J, L]]","calculateScore"
"63",4,4,9,0.099498743710662,9.99,8,"[[O, j], [N, c], [h, h], [L, m], [d, k], [J, Y], [E, j], [k, a], [m, a], [J, L]]","calculateScore"
"71",4,7,10,0,10,9,"[[c, M], [C, a], [f, C], [C, j], [a, b], [L, K], [i, M], [D, a], [c, C], [c, D]]","calculateScore"
"34",5,1,8,0.563560112144214,9.68,4,"[[l, h], [K, B], [L, L], [S, p], [J, J], [S, D], [a, B], [A, a], [r, G], [j, d]]","calculateScore"
"44",5,2,9,0.271293199325011,9.92,5,"[[C, K], [L, R], [k, A], [E, C], [R, H], [H, b], [c, l], [L, t], [t, d], [l, l]]","calculateScore"
"54",5,3,9,0.099498743710662,9.99,6,"[[l, m], [C, r], [J, k], [b, a], [g, s], [N, k], [G, G], [l, A], [C, c], [J, k]]","calculateScore"
"64",5,4,10,0,10,7,"[[M, d], [F, b], [f, H], [r, M], [J, V], [a, i], [T, l], [S, l], [A, E], [D, M]]","calculateScore"
"35",6,1,7,0.574456264653803,9.7,1,"[[a, a], [a, c], [c, K], [O, Z], [l, L], [H, D], [E, J], [n, n], [b, b], [f, c]]","calculateScore"
"45",6,2,8,0.319217793990248,9.91,2,"[[K, E], [a, L], [J, J], [E, E], [t, U], [N, B], [C, M], [J, P], [J, D], [d, R]]","calculateScore"
"55",6,3,10,0,10,3,"[[b, h], [D, e], [S, R], [m, s], [m, J], [m, c], [g, A], [Q, K], [f, e], [D, J]]","calculateScore"
"36",7,1,7,0.591607978309962,9.7,2,"[[m, m], [m, r], [c, s], [g, R], [a, r], [C, j], [a, a], [t, m], [f, D], [B, B]]","calculateScore"
"46",7,2,8,0.354400902933387,9.88,3,"[[d, B], [S, E], [c, C], [m, J], [t, M], [a, a], [A, A], [j, A], [a, C], [t, l]]","calculateScore"
"56",7,3,9,0.14,9.98,3,"[[T, T], [o, L], [r, Z], [E, d], [w, R], [J, D], [j, I], [D, k], [J, f], [B, O]]","calculateScore"
"65",7,4,10,0,10,4,"[[n, r], [h, D], [r, z], [K, k], [j, T], [J, t], [C, J], [h, D], [m, J], [r, B]]","calculateScore"
"37",8,1,9,0.433012701892219,9.75,2,"[[s, T], [N, t], [L, P], [D, D], [s, T], [N, K], [C, K], [l, I], [e, k], [m, t]]","calculateScore"
"47",8,2,9,0.255147016443462,9.93,2,"[[A, G], [L, a], [C, R], [R, v], [d, F], [M, m], [K, n], [C, C], [t, L], [a, A]]","calculateScore"
"57",8,3,9,0.099498743710662,9.99,3,"[[W, h], [B, H], [S, y], [A, c], [w, J], [y, J], [b, b], [s, D], [c, A], [R, Z]]","calculateScore"
"66",8,4,10,0,10,4,"[[c, m], [b, h], [j, m], [G, O], [F, D], [l, B], [M, e], [M, S], [z, T], [A, H]]","calculateScore"
"38",9,1,9,0.448998886412872,9.72,1,"[[S, S], [G, u], [a, s], [v, k], [e, B], [c, h], [J, a], [r, C], [A, M], [A, R]]","calculateScore"
"48",9,2,9,0.255147016443462,9.93,2,"[[A, M], [H, H], [L, a], [b, n], [s, S], [i, E], [U, I], [p, t], [L, R], [A, e]]","calculateScore"
"58",9,3,9,0.14,9.98,3,"[[A, M], [H, H], [L, a], [G, M], [L, b], [c, E], [E, L], [p, t], [L, R], [A, e]]","calculateScore"
"67",9,4,10,0,10,4,"[[G, J], [b, g], [d, B], [s, j], [M, s], [n, A], [w, O], [E, D], [B, m], [J, H]]","calculateScore"
"39",10,1,8,0.482078831727757,9.74,2,"[[J, k], [A, h], [s, r], [e, e], [A, z], [m, K], [D, D], [r, k], [k, N], [e, C]]","calculateScore"
"49",10,2,9,0.237486841740759,9.94,3,"[[m, m], [c, K], [e, M], [b, e], [d, G], [J, c], [R, J], [J, r], [E, A], [A, R]]","calculateScore"
"59",10,3,9,0.099498743710662,9.99,4,"[[l, M], [A, K], [b, g], [A, W], [k, g], [L, g], [e, C], [K, K], [l, j], [N, r]]","calculateScore"
"68",10,4,10,0,10,4,"[[H, j], [s, o], [A, R], [E, M], [S, e], [M, l], [m, E], [b, D], [i, V], [c, B]]","calculateScore"
"310",1,1,5,1.17046999107196,7.9,6,"[[9, 5], [8, 8], [5, 5], [0, 3], [1, 3], [7, 5], [8, 4], [6, 2], [0, 7], [2, 2]]","determineGuess"
"410",1,2,6,1.06,8.42,8,"[[4, 1], [2, 2], [1, 0], [0, 4], [6, 2], [6, 2], [6, 6], [0, 2], [8, 5], [5, 9]]","determineGuess"
"510",1,3,5,0.932255329831909,8.97,10,"[[2, 9], [2, 2], [4, 3], [6, 4], [1, 1], [0, 6], [1, 4], [4, 5], [0, 2], [2, 2]]","determineGuess"
"69",1,4,7,0.734846922834954,9.4,11,"[[6, 6], [2, 9], [9, 7], [6, 4], [1, 7], [4, 4], [4, 0], [5, 5], [5, 3], [7, 2]]","determineGuess"
"72",1,7,7,0.61408468471376,9.73,12,"[[2, 9], [6, 6], [9, 7], [6, 4], [4, 0], [4, 4], [4, 0], [5, 5], [5, 3], [7, 2]]","determineGuess"
"81",1,8,9,0.237486841740759,9.94,14,"[[5, 6], [6, 0], [6, 6], [4, 1], [3, 0], [7, 5], [4, 6], [8, 9], [7, 5], [2, 0]]","determineGuess"
"9",1,9,9,0.14,9.98,15,"[[6, 1], [5, 6], [6, 6], [2, 5], [7, 4], [6, 3], [8, 3], [6, 8], [8, 3], [2, 8]]","determineGuess"
"10",1,10,10,0,10,16,"[[6, 7], [1, 3], [5, 9], [3, 5], [3, 1], [8, 4], [6, 3], [6, 8], [8, 5], [5, 3]]","determineGuess"
"311",2,1,5,1.22552029766953,8.09,4,"[[0, 1], [1, 1], [2, 8], [6, 2], [1, 2], [2, 7], [4, 4], [8, 5], [0, 1], [4, 4]]","determineGuess"
"411",2,2,6,1.01286721735872,8.71,5,"[[8, 1], [5, 8], [6, 7], [0, 9], [1, 2], [0, 8], [8, 4], [0, 3], [7, 3], [0, 7]]","determineGuess"
"511",2,3,6,0.917551088495894,9.09,6,"[[0, 5], [5, 4], [2, 1], [5, 2], [3, 2], [0, 7], [3, 3], [7, 0], [1, 5], [3, 3]]","determineGuess"
"610",2,4,7,0.655057249406493,9.53,7,"[[7, 3], [4, 7], [6, 2], [0, 5], [2, 1], [3, 8], [7, 0], [3, 3], [6, 3], [0, 7]]","determineGuess"
